Özellik,Değer
Ortalama Birim Fiyat,9.638 ₺/m²
Min. Birim Fiyat,2.164 ₺/m²
Maks. Birim Fiyat,30.254 ₺/m²
Ortalama Pazarlama Süresi,86 gün
Stok Adedi,5.102 ünite
Stok Oranı,-
Stok Değişimi,-
