Kırılım,Alan,Min. Birim Fiyat,Maks. Birim Fiyat,Birim Fiyat,Pazarlama Süresi,Stok,Dağılım
1-1.000,500 m²,2.469 ₺/m²,43.468 ₺/m²,11.364 ₺/m²,86 gün,4.442 ünite,-
1.001-10.000,2.031 m²,914 ₺/m²,40.534 ₺/m²,6.450 ₺/m²,86 gün,2.119 ünite,-
10.001-25.000,13.450 m²,381 ₺/m²,45.750 ₺/m²,4.887 ₺/m²,73 gün,191 ünite,-
25.001 ve üzeri,40.683 m²,402 ₺/m²,22.927 ₺/m²,3.772 ₺/m²,65 gün,62 ünite,-
