Kırılım,Alan,Min. Birim Fiyat,Maks. Birim Fiyat,Birim Fiyat,Pazarlama Süresi,Stok,Dağılım
1-20.000,3.387 m²,237 ₺/m²,9.490 ₺/m²,1.429 ₺/m²,90 gün,12.049 ünite,-
100.001 ve üzeri,196.566 m²,19 ₺/m²,5.574 ₺/m²,93 ₺/m²,90 gün,40 ünite,-
20.001-100.000,30.000 m²,86 ₺/m²,7.380 ₺/m²,869 ₺/m²,88 gün,789 ünite,-
