İlçe,Nisan 2025 (₺/m²),Ort. Değer (₺),Yıllık Değişim (%)
Bodrum,3473,16027895.0,37.33
Datça,2624,7617472.0,24.18
Fethiye,4451,6703206.0,43.72
Köyceğiz,2667,7494270.0,22.12
Marmaris,5747,9028537.0,49.23
Milas,977,2996459.0,21.97
Ula,2674,5738404.0,18.9
Yatağan,597,2945001.0,49.62
Dalaman,2101,5223086.0,29.21
Ortaca,2957,7960244.0,32.54
Kavaklıdere,507,3075969.0,55.52
Menteşe,1079,2200081.0,33.54
Seydikemer,1207,,
