Özellik,Değer
Ortalama Birim Fiyat,1.753 ₺/m²
Min. Birim Fiyat,400 ₺/m²
Maks. Birim Fiyat,8.923 ₺/m²
Ortalama Pazarlama Süresi,88 gün
Stok Adedi,12.466 ünite
Stok Oranı,-
Stok Değişimi,%2 ↑
