İlçe,Nisan 2025 (₺/m²),Ort. Değer (₺),Yıllık Değişim (%)
Bodrum,22849,22871849,16.05
Datça,13109,10172584,24.46
Fethiye,15516,11218068,32.47
Köyceğiz,8023,8191483,29.09
Marmaris,12228,10137012,28.53
Milas,7343,3928505,22.65
Ula,8894,5656584,37.15
Yatağan,3452,1902052,76.66
Dalaman,12841,6163680,18.09
Ortaca,11501,8556744,20.15
Kavaklıdere,2540,2552700,13.95
Menteşe,5215,3509695,37.89
Seydikemer,3131,2473490,16.31
